fullName,description,url,stars,size,language,pushedAt,forks,openIssues
redisson/redisson,Redisson: Valkey & Redis Java Client and Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set; Multimap; SortedSet; Map; List; Queue; Deque; Semaphore; Lock; AtomicLong; Map Reduce; Bloom filter; Spring; Tomcat; Scheduler; JCache API; Hibernate; RPC; local cache..,https://github.com/redisson/redisson,24363,36010,Java,Tue Jun 30 08:40:23 CST 2026,5486,237
micronaut-projects/micronaut-data,Ahead of Time Data Repositories,https://github.com/micronaut-projects/micronaut-data,480,337880,Java,Tue Jun 30 08:58:41 CST 2026,226,215
micronaut-projects/micronaut-openapi,Generates OpenAPI / Swagger Documentation for Micronaut projects,https://github.com/micronaut-projects/micronaut-openapi,113,97605,Java,Tue Jun 30 06:59:22 CST 2026,120,27
micronaut-projects/micronaut-kafka,Integration between Micronaut and Apache Kafka,https://github.com/micronaut-projects/micronaut-kafka,95,22876,Java,Tue Jun 30 05:11:07 CST 2026,128,17
camunda-community-hub/micronaut-camunda-platform-7,Integration between Micronaut and Camunda (Workflow Engine). We configure Camunda with sensible defaults; so that you can get started with minimum configuration: simply add a dependency in your Micronaut project to embed the workflow engine!,https://github.com/camunda-community-hub/micronaut-camunda-platform-7,81,1020,Java,Fri Mar 20 01:12:35 CST 2026,35,24
sivaprasadreddy/testcontainers-samples,Sample projects using Testcontainers for Java,https://github.com/sivaprasadreddy/testcontainers-samples,61,1043,Java,Sun Feb 01 22:28:47 CST 2026,15,0
piomin/sample-micronaut-microservices,sample micronaut application illustrates using basic microservices patterns like distributed configuration and service discovery with Consul; distributed tracing with Zipkin; inter-service communication with micronaut http client,https://github.com/piomin/sample-micronaut-microservices,60,362,Java,Wed Feb 25 15:15:19 CST 2026,32,1
micronaut-projects/micronaut-guides,Guides and Tutorials on how to use Micronaut including sample code ,https://github.com/micronaut-projects/micronaut-guides,51,3180488,Java,Tue Jun 30 10:53:22 CST 2026,47,363
micronaut-projects/micronaut-kubernetes,This project includes integration between Micronaut and Kubernetes,https://github.com/micronaut-projects/micronaut-kubernetes,50,50744,Java,Tue Jun 30 05:21:18 CST 2026,31,29
kokuwaio/micronaut-openapi-codegen,OpenAPI codegen for Micronaut,https://github.com/kokuwaio/micronaut-openapi-codegen,42,1771,Java,Tue Jun 30 08:10:20 CST 2026,17,1
micronaut-projects/micronaut-micrometer,Integration between Micronaut and Micrometer,https://github.com/micronaut-projects/micronaut-micrometer,42,20731,Java,Tue Jun 30 05:50:56 CST 2026,68,40
ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,In this project; we’ll create six apps using Spring Boot; Quarkus; and Micronaut. For each framework; one app will use blocking Web with Tomcat; and the other will use non-blocking Reactive with Netty. We’ll build both JVM and Native Docker images. For Spring Boot; additional images will test configurations with Virtual Threads; CDS; and AOT,https://github.com/ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,31,213,Java,Tue Apr 21 15:07:20 CST 2026,14,0
macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,https://github.com/macrozheng/mall,83952,58736,Java,Thu May 14 02:32:05 CST 2026,29712,15
spring-projects/spring-boot,Spring Boot helps you to create Spring-powered; production-grade applications and services with absolute minimum fuss.,https://github.com/spring-projects/spring-boot,81055,216393,Java,Tue Jun 30 02:14:06 CST 2026,41930,521
conductor-oss/conductor,Conductor is an event driven agentic workflow engine providing durable and highly resilient execution engine for applications and AI Agents,https://github.com/conductor-oss/conductor,31977,42658,Java,Tue Jun 30 06:53:55 CST 2026,946,204
apolloconfig/apollo,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,https://github.com/apolloconfig/apollo,29778,57680,Java,Sat Jun 27 02:59:39 CST 2026,10183,162
elunez/eladmin,eladmin jpa 版本：项目基于 Spring Boot 2.7.18、 Jpa、 Spring Security、Redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,https://github.com/elunez/eladmin,21928,7523,Java,Sat May 09 03:41:00 CST 2026,7362,17
linlinjava/litemall,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,https://github.com/linlinjava/litemall,20308,24615,Java,Tue Jun 23 22:03:45 CST 2026,7314,49
macrozheng/mall-swarm,mall-swarm是一套微服务商城系统，采用了 Spring Cloud Alibaba、Spring Boot 3.5、Sa-Token、MyBatis、Elasticsearch、Docker、Kubernetes等核心技术，同时提供了基于Vue的管理后台方便快速搭建系统。mall-swarm在电商业务的基础集成了注册中心、配置中心、监控中心、网关等系统功能。,https://github.com/macrozheng/mall-swarm,13017,54617,Java,Thu May 21 02:03:07 CST 2026,5525,9
codecentric/spring-boot-admin,Admin UI for administration of spring boot applications,https://github.com/codecentric/spring-boot-admin,12835,100596,Java,Tue Jun 30 05:33:10 CST 2026,3148,59
newbee-ltd/newbee-mall,🔥 🎉newbee-mall是一套电商系统，包括基础版本(Spring Boot+Thymeleaf)、前后端分离版本(Spring Boot+Vue 3+Element-Plus+Vue-Router 4+Pinia+Vant 4) 、秒杀版本、Go语言版本、微服务版本(Spring Cloud Alibaba+Nacos+Sentinel+Seata+Spring Cloud Gateway+OpenFeign+ELK)。 前台商城系统包含首页门户、商品分类、新品上线、首页轮播、商品推荐、商品搜索、商品展示、购物车、订单结算、订单流程、个人订单管理、会员中心、帮助中心等模块。 后台管理系统包含数据面板、轮播图管理、商品管理、订单管理、会员管理、分类管理、设置等模块。,https://github.com/newbee-ltd/newbee-mall,11589,36245,Java,Mon Oct 27 04:43:30 CST 2025,2781,21
apereo/cas,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,https://github.com/apereo/cas,11349,341072,Java,Tue Jun 30 07:17:06 CST 2026,3952,6
zfile-dev/zfile,在线云盘、网盘、OneDrive、云存储、私有云、对象存储、h5ai、上传、下载,https://github.com/zfile-dev/zfile,10781,40800,Java,Sat May 16 06:27:19 CST 2026,1960,57
hs-web/hsweb-framework,hsweb (haʊs wɛb) 是一个基于spring-boot 2.x开发 ;首个使用全响应式编程的企业级后台管理系统基础项目。,https://github.com/hs-web/hsweb-framework,8402,34473,Java,Thu Jun 25 05:12:49 CST 2026,3025,8
pig-mesh/pig,↥ ↥ ↥ Follow for updates An RBAC permission management system based on Spring Cloud 2025; Spring Boot 4; and OAuth2.,https://github.com/pig-mesh/pig,6651,83248,Java,Sun Jun 28 19:22:19 CST 2026,1092,282
jetlinks/jetlinks-community,JetLinks  基于Java;Spring Boot ;WebFlux;Netty;Vert.x;Reactor等开发; 是一个全响应式的企业级物联网平台。支持统一物模型管理;多种设备;多种厂家;统一管理。统一设备连接管理;多协议适配(TCP;MQTT;UDP;CoAP;HTTP等);屏蔽网络编程复杂性;灵活接入不同厂家不同协议等设备。实时数据处理;设备告警;消息通知;数据转发。地理位置;数据可视化等。能帮助你快速建立物联网相关业务系统。,https://github.com/jetlinks/jetlinks-community,6532,72562,Java,Sun May 24 06:53:47 CST 2026,1912,52
DerekYRC/mini-spring,mini-spring is a simplified version of the Spring framework that helps you quickly familiarize yourself with Spring source code and master Spring's core principles. It extracts Spring's core logic with extremely simplified code while preserving Spring's core functionality.,https://github.com/DerekYRC/mini-spring,6361,1107,Java,Sat Jun 20 21:16:33 CST 2026,1452,32
apache/camel,Apache Camel is an open source integration framework with 350+ connectors. Write routes in Java; YAML; or XML. Run on Spring Boot; Quarkus; or standalone. Apache License 2.0.,https://github.com/apache/camel,6250,1318409,Java,Tue Jun 30 03:33:10 CST 2026,5131,25
rubenlagus/TelegramBots,Java library to create bots using Telegram Bots API,https://github.com/rubenlagus/TelegramBots,5468,4186,Java,Sun May 31 04:16:46 CST 2026,1357,201
